year,month,day,gender,births
1975, 11, 31, M, 1
1976, 9, 31, M, 1
1977, 5, 99, M, 1
1978, 11, 99, M, 1
1979, 2, 99, M, 1
1979, 4, 99, M, 1
1981, 10, 99, M, 1
1984, 2, 99, M, 1
1984, 3, 99, M, 1
1984, 4, 99, M, 1
1985, 1, 99, M, 1
1985, 11, 99, M, 1
1986, 7, 99, M, 1
1986, 11, 99, M, 1
1986, 12, 99, M, 1
1988, 3, 99, M, 1
1988, 6, 99, M, 1
1988, 10, 99, M, 1
1971, 2, 30, M, 2
1971, 4, 31, M, 2
1972, 2, 31, M, 2
1972, 9, 31, M, 2
1973, 4, 31, M, 2
1973, 9, 31, M, 2
1974, 2, 29, M, 2
1974, 2, 31, M, 2
1974, 4, 31, M, 2
1974, 6, 31, M, 2
1974, 11, 31, M, 2
1975, 4, 31, M, 2
1975, 6, 31, M, 2
1975, 9, 31, M, 2
1976, 7, 99, M, 2
1976, 10, 99, M, 2
1977, 2, 99, M, 2
1977, 3, 99, M, 2
1977, 6, 31, M, 2
1977, 8, 99, M, 2
1978, 2, 30, M, 2
1978, 2, 31, M, 2
1978, 4, 31, M, 2
1978, 4, 99, M, 2
1978, 5, 99, M, 2
1978, 12, 99, M, 2
1979, 3, 99, M, 2
1979, 5, 99, M, 2
1979, 6, 99, M, 2
1979, 8, 99, M, 2
1979, 10, 99, M, 2
1980, 3, 99, M, 2
1980, 6, 99, M, 2
1980, 11, 99, M, 2
1981, 1, 99, M, 2
1981, 6, 99, M, 2
1981, 8, 99, M, 2
1981, 12, 99, M, 2
1982, 6, 99, M, 2
1983, 1, 99, M, 2
1983, 8, 99, M, 2
1983, 9, 99, M, 2
1984, 6, 99, M, 2
1978, 6, 31, M, 3
1978, 9, 31, M, 3
1978, 11, 31, M, 3
1979, 12, 99, M, 3
1980, 4, 99, M, 3
1980, 10, 99, M, 3
1981, 2, 99, M, 3
1983, 10, 99, M, 3
1984, 1, 99, M, 3
1984, 11, 99, M, 3
1987, 2, 99, M, 3
1971, 11, 31, M, 4
1972, 4, 31, M, 4
1972, 11, 31, M, 4
1973, 2, 29, M, 4
1973, 5, 99, M, 4
1975, 1, 99, M, 4
1975, 2, 29, M, 4
1975, 10, 99, M, 4
1976, 8, 99, M, 4
1976, 9, 99, M, 4
1976, 12, 99, M, 4
1977, 11, 31, M, 4
1977, 12, 99, M, 4
1978, 6, 99, M, 4
1979, 11, 99, M, 4
1981, 7, 99, M, 4
1981, 11, 99, M, 4
1982, 2, 99, M, 4
1982, 3, 99, M, 4
1982, 10, 99, M, 4
1982, 11, 99, M, 4
1982, 12, 99, M, 4
1984, 7, 99, M, 4
1985, 2, 99, M, 4
1986, 2, 99, M, 4
1975, 9, 99, M, 5
1978, 9, 99, M, 5
1984, 8, 99, M, 5
1970, 2, 31, M, 6
1971, 2, 31, M, 6
1972, 5, 99, M, 6
1973, 6, 31, M, 6
1974, 7, 99, M, 6
1975, 4, 99, M, 6
1976, 4, 99, M, 6
1977, 6, 99, M, 6
1977, 9, 31, M, 6
1977, 9, 99, M, 6
1977, 10, 99, M, 6
1977, 11, 99, M, 6
1980, 9, 99, M, 6
1982, 1, 99, M, 6
1982, 7, 99, M, 6
1983, 2, 99, M, 6
1983, 3, 99, M, 6
1974, 9, 31, M, 7
1971, 3, 99, M, 8
1971, 6, 31, M, 8
1972, 3, 99, M, 8
1972, 4, 99, M, 8
1973, 9, 99, M, 8
1974, 5, 99, M, 8
1975, 3, 99, M, 8
1975, 5, 99, M, 8
1975, 6, 99, M, 8
1975, 7, 99, M, 8
1975, 12, 99, M, 8
1977, 7, 99, M, 8
1978, 2, 29, M, 8
1978, 8, 99, M, 8
1978, 10, 99, M, 8
1982, 4, 99, M, 8
1974, 2, 99, M, 9
1975, 2, 99, M, 9
1975, 8, 99, M, 9
1976, 5, 99, M, 9
1982, 8, 99, M, 9
1983, 6, 99, M, 9
1971, 12, 99, M, 10
1972, 7, 99, M, 10
1972, 8, 99, M, 10
1972, 10, 99, M, 10
1973, 11, 31, M, 10
1974, 4, 99, M, 10
1974, 8, 99, M, 10
1974, 11, 99, M, 10
1979, 9, 99, M, 11
1983, 4, 99, M, 11
1970, 2, 30, M, 12
1971, 1, 99, M, 12
1971, 6, 99, M, 12
1972, 1, 99, M, 12
1973, 3, 99, M, 12
1973, 4, 99, M, 12
1973, 6, 99, M, 12
1976, 6, 99, M, 12
1976, 11, 31, M, 12
1983, 7, 99, M, 12
1970, 6, 31, M, 14
1971, 2, 99, M, 14
1971, 4, 99, M, 14
1971, 7, 99, M, 14
1971, 9, 31, M, 14
1973, 7, 99, M, 14
1973, 10, 99, M, 14
1974, 9, 99, M, 14
1976, 2, 99, M, 14
1969, 2, 29, M, 16
1971, 11, 99, M, 16
1972, 2, 99, M, 16
1974, 3, 99, M, 16
1976, 3, 99, M, 17
1970, 4, 31, M, 18
1976, 1, 99, M, 18
1969, 2, 31, M, 20
1970, 11, 31, M, 20
1971, 8, 99, M, 20
1972, 6, 99, M, 20
1973, 12, 99, M, 20
